# SNAP directed edge list: source target
# Nodes: 20 Edges: 168
# FromNodeId	ToNodeId
0 1
0 2
0 4
0 6
0 8
0 10
0 11
0 12
0 13
0 14
0 16
0 18
0 19
1 3
1 4
1 6
1 9
1 12
1 14
1 18
1 19
2 9
2 10
2 12
2 16
2 17
2 18
2 19
3 2
3 4
3 5
3 7
3 8
3 9
3 17
3 19
4 3
4 5
4 6
4 7
4 8
4 9
4 12
4 13
4 14
4 15
4 17
4 19
5 3
5 7
5 8
5 15
5 16
5 17
5 19
6 2
6 7
6 8
6 13
6 14
6 15
6 17
7 2
7 4
7 9
7 12
7 14
7 15
7 17
7 18
7 19
8 1
8 2
8 3
8 6
8 9
8 10
8 11
9 0
9 4
9 5
9 7
9 15
9 16
9 18
10 1
10 3
10 6
10 8
10 13
10 15
10 17
10 18
11 0
11 2
11 3
11 4
11 7
11 9
11 13
11 17
11 19
12 0
12 4
12 6
12 9
12 16
12 19
13 0
13 2
13 3
13 4
13 9
13 10
13 16
13 19
14 0
14 3
14 4
14 6
14 10
14 15
14 17
14 18
14 19
15 0
15 2
15 4
15 7
15 12
15 13
15 14
15 18
15 19
16 0
16 1
16 2
16 3
16 7
16 10
16 11
16 14
16 19
17 1
17 2
17 4
17 8
17 9
17 12
17 13
17 16
17 19
18 0
18 1
18 5
18 6
18 8
18 10
18 14
18 17
18 19
19 0
19 4
19 5
19 7
19 8
19 15
19 18
