# SNAP directed edge list: source target
# Nodes: 17 Edges: 119
# FromNodeId	ToNodeId
0 1
0 2
0 4
0 6
0 8
0 10
0 11
0 12
0 13
0 14
0 16
1 2
1 3
1 6
1 7
1 9
1 12
1 15
2 0
2 5
2 6
2 15
2 16
3 1
3 6
3 7
3 8
3 9
3 12
3 13
3 14
3 16
4 0
4 1
4 10
4 12
4 16
5 0
5 1
5 2
5 3
5 4
5 8
5 9
5 10
5 11
5 13
5 15
6 2
6 5
6 7
6 14
6 15
6 16
7 1
7 4
7 9
7 10
7 15
7 16
8 0
8 2
8 7
8 10
8 14
9 0
9 2
9 3
9 5
9 6
9 7
9 10
9 11
9 12
9 15
10 0
10 1
10 2
10 12
10 16
11 0
11 2
11 9
11 10
11 13
11 16
12 1
12 4
12 6
12 10
12 13
12 15
12 16
13 1
13 3
13 4
13 5
13 8
13 10
13 14
14 1
14 3
14 4
14 8
14 10
14 13
15 3
15 6
15 7
15 9
15 10
15 11
16 0
16 1
16 6
16 9
16 10
16 13
16 14
