# SNAP directed edge list: source target
# Nodes: 16 Edges: 121
# FromNodeId	ToNodeId
0 2
0 3
0 4
0 8
0 9
0 10
0 11
0 13
0 14
1 2
1 5
1 8
1 9
1 11
1 12
1 13
2 5
2 12
2 13
2 14
2 15
3 0
3 1
3 2
3 5
3 6
3 7
3 8
3 12
3 14
3 15
4 7
4 8
4 9
4 10
4 11
4 14
5 0
5 2
5 3
5 4
5 7
5 10
5 11
5 14
5 15
6 0
6 3
6 4
6 5
6 11
6 15
7 1
7 2
7 3
7 6
7 9
7 12
7 15
8 4
8 5
8 6
8 11
8 12
8 15
9 0
9 1
9 4
9 5
9 7
9 10
9 11
9 14
9 15
10 2
10 4
10 5
10 6
10 8
10 9
10 11
10 13
11 0
11 1
11 3
11 4
11 7
11 10
11 12
11 13
11 14
11 15
12 3
12 4
12 5
12 7
12 8
12 9
12 10
12 11
12 13
12 15
13 2
13 8
13 9
13 10
13 11
13 12
13 14
14 0
14 2
14 3
14 8
14 9
14 15
15 3
15 5
15 6
15 9
15 10
15 12
