# SNAP directed edge list: source target
# Nodes: 18 Edges: 136
# FromNodeId	ToNodeId
0 1
0 2
0 4
0 6
0 8
0 10
0 11
0 12
0 13
0 14
0 16
1 0
1 2
1 5
1 6
1 8
1 11
1 14
1 16
2 3
2 4
2 13
2 14
2 16
3 2
3 4
3 5
3 6
3 9
3 10
3 11
3 13
3 14
3 15
4 6
4 8
4 12
4 13
4 14
4 15
4 16
4 17
5 2
5 3
5 4
5 6
5 8
5 10
5 14
5 17
6 0
6 8
6 9
6 10
6 12
6 15
7 1
7 2
7 8
7 9
7 10
7 12
7 17
8 1
8 5
8 9
8 11
8 12
8 14
8 15
8 16
9 0
9 1
9 2
9 5
9 7
9 8
9 10
10 1
10 5
10 6
10 8
10 16
10 17
11 1
11 4
11 6
11 9
11 12
11 16
12 0
12 2
12 3
12 5
12 7
12 8
12 9
12 13
12 15
13 0
13 4
13 6
13 7
13 11
13 14
13 17
14 5
14 8
14 9
14 11
14 12
14 13
15 1
15 2
15 7
15 10
15 11
15 14
15 16
16 0
16 4
16 8
16 10
16 11
16 12
16 13
16 15
17 0
17 3
17 8
17 9
17 10
17 13
17 14
17 15
17 16
